quoting_tweet_id,quoting_user_name,quoted_tweet_id,quoted_user_name
1570031549344808960,kumamotoni,1569815687249494017,MPD_bousai
1569924447230132224,sora_08_milk,1569815687249494017,MPD_bousai
1569845813614120960,You_Smtk,1569815687249494017,MPD_bousai
1569844317417795584,Nokuchi_Ruka,1569815687249494017,MPD_bousai
1569822726176784384,smoke3salmon,1569815687249494017,MPD_bousai
1569822025660899328,nanako326,1569815687249494017,MPD_bousai
1569819013609562112,tittyai69,1569815687249494017,MPD_bousai
1569816569529892864,sanukinoin,1569815687249494017,MPD_bousai
1569696771861020672,DieT_oLive,1569466277395300352,MPD_bousai
1569642174886871040,yakingumi_k,1569466277395300352,MPD_bousai
1569581810631442432,kuyakusyo1,1569466277395300352,MPD_bousai
1569570377483034624,yama_etsu_jpn,1569466277395300352,MPD_bousai
1569517470616272896,sekiraraeco,1569466277395300352,MPD_bousai
1569496000926220288,Shimako22115380,1569466277395300352,MPD_bousai
1569493136585674752,5838hisa,1569466277395300352,MPD_bousai
1569477432713031680,FelicidaD4all,1569466277395300352,MPD_bousai
1569475601463123968,xa_ya,1569466277395300352,MPD_bousai
1569467127249371136,maromaster,1569466277395300352,MPD_bousai
1584366260581969920,YAMAP_HI,1569090913074397187,MPD_bousai
1581298917161193472,honeycitrus_tea,1569090913074397187,MPD_bousai
1577776390459785216,Yurima_Aska,1569090913074397187,MPD_bousai
1577243193292500992,yshrchd,1569090913074397187,MPD_bousai
1576357971692380160,pigekitty,1569090913074397187,MPD_bousai
1575826019839115264,After_story,1569090913074397187,MPD_bousai
1575826019839115264,LapiLapisLazuli,1569090913074397187,MPD_bousai
1575708113776189440,mikya72963514,1569090913074397187,MPD_bousai
1575411859242381312,biketto27,1569090913074397187,MPD_bousai
1575375525580636160,otaraco,1569090913074397187,MPD_bousai
1575286768516988928,ytttnt3,1569090913074397187,MPD_bousai
1575257365397778432,kyoko70202816,1569090913074397187,MPD_bousai
1575044280850137088,LBee0828,1569090913074397187,MPD_bousai
1574991754033385472,sawada_takayasu,1569090913074397187,MPD_bousai
1574990672049774592,nashipoppo,1569090913074397187,MPD_bousai
1574989321748168704,Canal520,1569090913074397187,MPD_bousai
1574931980621615104,maro_z28,1569090913074397187,MPD_bousai
1574919187813658624,studio15heart,1569090913074397187,MPD_bousai
1574772147750567936,kuro623,1569090913074397187,MPD_bousai
1574768937233158144,chinopon,1569090913074397187,MPD_bousai
1574584045400625152,pepperoning,1569090913074397187,MPD_bousai
1574507282477752320,minaduki161976,1569090913074397187,MPD_bousai
1574465985092136960,hacchi_12345678,1569090913074397187,MPD_bousai
1574403274463379456,kaki38_q,1569090913074397187,MPD_bousai
1574363085091241984,ubeeubeeubee,1569090913074397187,MPD_bousai
1574361337823924224,Juni11K,1569090913074397187,MPD_bousai
1574361154436333568,toyota_1g,1569090913074397187,MPD_bousai
1574355755607609344,melbourne_topo,1569090913074397187,MPD_bousai
1574352024430608384,POPOPO_OPEN,1569090913074397187,MPD_bousai
1574333783775776768,o_mi_tsu,1569090913074397187,MPD_bousai
1574325212585558016,hidekmrym,1569090913074397187,MPD_bousai
1574324234343415808,islandmktg17,1569090913074397187,MPD_bousai
1574306651380785152,megumim09,1569090913074397187,MPD_bousai
1574292583752159232,Ai_Bom_,1569090913074397187,MPD_bousai
1574285243095187456,revena_tw,1569090913074397187,MPD_bousai
1574282576230875136,eve_suou,1569090913074397187,MPD_bousai
1574253387662893056,yoko_memo,1569090913074397187,MPD_bousai
1574248182653284352,nekonomia,1569090913074397187,MPD_bousai
1574246718421737472,torte_39,1569090913074397187,MPD_bousai
1574210801824854016,nurutaka_ikb,1569090913074397187,MPD_bousai
1574174706982612992,musical_fun1981,1569090913074397187,MPD_bousai
1574167668227444736,tamaki1955,1569090913074397187,MPD_bousai
1574045681517727744,Chi_ko0329,1569090913074397187,MPD_bousai
1574027905507954688,xxx0syo0xxx,1569090913074397187,MPD_bousai
1574012493844090880,hebitsukai2283,1569090913074397187,MPD_bousai
1573998149588643840,cha_bo39,1569090913074397187,MPD_bousai
1573981927971131392,mutsu62goto,1569090913074397187,MPD_bousai
1573925807650578432,siam_station,1569090913074397187,MPD_bousai
1573913804379136000,MrT_04050311,1569090913074397187,MPD_bousai
1573877840860565504,hiji_atentia,1569090913074397187,MPD_bousai
1573870761798168576,kase_hide0011,1569090913074397187,MPD_bousai
1573853649121423360,yyasso,1569090913074397187,MPD_bousai
1573828939046617088,tadano_misaki,1569090913074397187,MPD_bousai
1573756437045837824,natsunachu_,1569090913074397187,MPD_bousai
1573675067250470912,shirousa02,1569090913074397187,MPD_bousai
1573635980128419840,Leon_uehara,1569090913074397187,MPD_bousai
1573627754364293120,borderbb,1569090913074397187,MPD_bousai
1573594586471346176,koala199906851,1569090913074397187,MPD_bousai
1573589883553079296,sasanoji_radio,1569090913074397187,MPD_bousai
1573579775259869184,take_san,1569090913074397187,MPD_bousai
1573568281469865984,unlock_amu,1569090913074397187,MPD_bousai
1573546668103913472,nako1203502,1569090913074397187,MPD_bousai
1573540383073927168,musubi_chiyo,1569090913074397187,MPD_bousai
1573539058071977984,i194kahlua,1569090913074397187,MPD_bousai
1573526533381443584,tsureoto,1569090913074397187,MPD_bousai
1573526054093799424,dragee0320,1569090913074397187,MPD_bousai
1573525464739549184,socrateke02,1569090913074397187,MPD_bousai
1573525423396651008,garnetflow,1569090913074397187,MPD_bousai
1573525238117040128,461_koichi,1569090913074397187,MPD_bousai
